ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
YLR256W	Hap1p(HAP1)	Saccharomyces cerevisiae S288C		GO:0000436~carbon catabolite activation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0043457~regulation of cellular respiration,GO:0061428~negative regulation of transcription from RNA polymerase II promoter in response to hypoxia,GO:0071169~establishment of protein localization to chromatin,	GO:0005634~nucleus,GO:0005739~mitochondrion,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,IPR007219:Transcription factor, fungi,		SM00066:GAL4,SM00906:SM00906,	Activator,Coiled coil,Complete proteome,DNA-binding,Heme,Iron,Metal-binding,Nucleus,Reference proteome,Repeat,Transcription,Transcription regulation,Zinc,	chain:Heme-responsive zinc finger transcription factor HAP1,compositionally biased region:Gln-rich,DNA-binding region:Zn(2)-C6 fungal-type,helix,metal ion-binding site:Zinc 1,metal ion-binding site:Zinc 2,modified residue,mutagenesis site,region of interest:Heme-responsive; required for HMC formation,repeat:HRM 1,repeat:HRM 2,repeat:HRM 3,repeat:HRM 4,repeat:HRM 5,repeat:HRM 6,repeat:HRM 7,sequence conflict,sequence variant,strand,
YGL237C	Hap2p(HAP2)	Saccharomyces cerevisiae S288C		GO:0000436~carbon catabolite activation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0043457~regulation of cellular respiration,	GO:0005634~nucleus,GO:0016602~CCAAT-binding factor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,	IPR001289:CCAAT-binding transcription factor, subunit B,IPR018362:CCAAT-binding factor, conserved site,		SM00521:CBF,	Acetylation,Activator,Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Transcriptional activator HAP2,compositionally biased region:Poly-Gln,DNA-binding region:NFYA/HAP2-type,modified residue,mutagenesis site,region of interest:Interaction with the HAP2-HAP3-HAP5 heteromer,short sequence motif:Subunit association domain (SAD),
YBL021C	Hap3p(HAP3)	Saccharomyces cerevisiae S288C		GO:0000436~carbon catabolite activation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0043457~regulation of cellular respiration,	GO:0005634~nucleus,GO:0016602~CCAAT-binding factor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,	IPR003956:Transcription factor, NFYB/HAP3, conserved site,IPR003958:Transcription factor CBF/NF-Y/archaeal histone,IPR009072:Histone-fold,			Activator,Complete proteome,DNA-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:Transcriptional activator HAP3,region of interest:Subunit association domain (SAD),
YOR358W	Hap5p(HAP5)	Saccharomyces cerevisiae S288C	Transcription,	GO:0000436~carbon catabolite activation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0043457~regulation of cellular respiration,	GO:0005634~nucleus,GO:0016602~CCAAT-binding factor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,	IPR007125:Histone core,IPR009072:Histone-fold,IPR027170:Transcriptional activator NFYC/HAP5 subunit,			Activator,Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Transcriptional activator HAP5,modified residue,
YMR172W	Hot1p(HOT1)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051123~RNA polymerase II transcriptional preinitiation complex assembly,GO:0061393~positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress,GO:0071475~cellular hyperosmotic salinity response,	GO:0005634~nucleus,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001075~transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly,	IPR022210:Transcription activator, osmotic-stress induced,			Activator,Complete proteome,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:High-osmolarity-induced transcription protein 1,modified residue,mutagenesis site,
YDR123C	Ino2p(INO2)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006629~lipid metabolic process,GO:0008654~phospholipid biosynthetic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0090575~RNA polymerase II transcription factor complex,	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0046983~protein dimerization activity,	IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,		SM00353:HLH,	Activator,Complete proteome,DNA-binding,Lipid biosynthesis,Lipid metabolism,Nucleus,Phospholipid biosynthesis,Phospholipid metabolism,Reference proteome,Transcription,Transcription regulation,	chain:Protein INO2,DNA-binding region:Basic motif,domain:Helix-loop-helix motif,
YOL108C	Ino4p(INO4)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006629~lipid metabolic process,GO:0008654~phospholipid biosynthetic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0090575~RNA polymerase II transcription factor complex,	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0046983~protein dimerization activity,	IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,		SM00353:HLH,	Activator,Complete proteome,DNA-binding,Lipid biosynthesis,Lipid metabolism,Nucleus,Phospholipid biosynthesis,Phospholipid metabolism,Reference proteome,Transcription,Transcription regulation,	chain:Protein INO4,DNA-binding region:Basic motif,domain:Helix-loop-helix motif,
YIR017C	Met28p(MET28)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0008652~cellular amino acid biosynthetic process,GO:0009086~methionine biosynthetic process,GO:0019344~cysteine biosynthetic process,GO:0031335~regulation of sulfur amino acid metabolic process,GO:2000679~positive regulation of transcription regulatory region DNA binding,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0089713~Cbf1-Met4-Met28 complex,	GO:0001102~RNA polymerase II activating transcription factor binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR004827:Basic-leucine zipper domain,		SM00338:BRLZ,	Activator,Amino-acid biosynthesis,Complete proteome,Cysteine biosynthesis,Cytoplasm,DNA-binding,Methionine biosynthesis,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:Transcriptional activator of sulfur metabolism MET28,DNA-binding region:Basic motif,domain:Leucine-zipper,
YPL038W	Met31p(MET31)	Saccharomyces cerevisiae S288C	General function prediction only,	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0031335~regulation of sulfur amino acid metabolic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0001133~RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding,GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,		SM00355:ZnF_C2H2,	Complete proteome,Cytoplasm,DNA-binding,Metal-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Transcriptional regulator MET31,modified residue,zinc finger region:C2H2-type,
YDR253C	Met32p(MET32)	Saccharomyces cerevisiae S288C	General function prediction only,	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007346~regulation of mitotic cell cycle,GO:0031335~regulation of sulfur amino acid metabolic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0001102~RNA polymerase II activating transcription factor binding,GO:0001133~RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding,GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,		SM00355:ZnF_C2H2,	Complete proteome,Cytoplasm,DNA-binding,Metal-binding,Nucleus,Reference proteome,Repeat,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Transcriptional regulator MET32,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2; atypical,
YNL103W	Met4p(MET4)	Saccharomyces cerevisiae S288C		GO:0000096~sulfur amino acid metabolic process,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0008652~cellular amino acid biosynthetic process,GO:0009086~methionine biosynthetic process,GO:0019344~cysteine biosynthetic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046685~response to arsenic-containing substance,GO:0046686~response to cadmium ion,	GO:0005634~nucleus,GO:0089713~Cbf1-Met4-Met28 complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003713~transcription coactivator activity,				Activator,Amino-acid biosynthesis,Coiled coil,Complete proteome,Cysteine biosynthesis,DNA-binding,Methionine biosynthesis,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Transcriptional activator of sulfur metabolism MET4,compositionally biased region:Asn-rich,compositionally biased region:Poly-Ser,DNA-binding region:Basic motif,domain:Leucine-zipper,modified residue,region of interest:Auxiliary; required for high transcriptional activity under nonrepressive growth conditions,region of interest:Inhibitory region; AdoMet responsiveness; required for interaction with MET30,region of interest:Required for interaction with MET31 and MET32,region of interest:Transcriptional activation,sequence conflict,
YGR249W	Mga1p(MGA1)	Saccharomyces cerevisiae S288C		GO:0006355~regulation of transcription, DNA-templated,GO:0030447~filamentous growth,	GO:0005634~nucleus,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR000232:Heat shock factor (HSF)-type, DNA-binding,IPR011991:Winged helix-turn-helix DNA-binding domain,		SM00415:HSF,	Complete proteome,DNA-binding,Nucleus,Reference proteome,	chain:Protein MGA1,compositionally biased region:Poly-Gln,
YMR070W	Mot3p(MOT3)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0010895~negative regulation of ergosterol biosynthetic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0061393~positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress,GO:0071470~cellular response to osmotic stress,GO:0071474~cellular hyperosmotic response,	GO:0005634~nucleus,GO:0005829~cytosol,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001102~RNA polymerase II activating transcription factor binding,GO:0001103~RNA polymerase II repressing transcription factor binding,GO:0003676~nucleic acid binding,GO:0046872~metal ion binding,	IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,		SM00355:ZnF_C2H2,	Acetylation,Activator,Amyloid,Complete proteome,Metal-binding,Nucleus,Prion,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Transcriptional activator/repressor MOT3,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Asn,compositionally biased region:Poly-Gln,compositionally biased region:Poly-His,compositionally biased region:Poly-Ser,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,
YOL116W	Msn1p(MSN1)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0035957~positive regulation of starch catabolic process by positive regulation of transcription from RNA polymerase II promoter,GO:0036095~positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter,GO:0061404~positive regulation of transcription from RNA polymerase II promoter in response to increased salt,GO:0061408~positive regulation of transcription from RNA polymerase II promoter in response to heat stress,GO:0097239~positive regulation of transcription from RNA polymerase II promoter in response to methylglyoxal,GO:1900461~positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,	IPR022210:Transcription activator, osmotic-stress induced,			Activator,Complete proteome,DNA-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:Protein MSN1,domain:Leucine-zipper,modified residue,sequence conflict,short sequence motif:Nuclear localization signal,
YMR164C	Mss11p(MSS11)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0035957~positive regulation of starch catabolic process by positive regulation of transcription from RNA polymerase II promoter,GO:0036095~positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter,GO:1900461~positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter,GO:1900524~positive regulation of flocculation via cell wall protein-carbohydrate interaction by positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,	IPR006594:LisH dimerisation motif,		SM00667:LisH,	Activator,Complete proteome,Cytoplasm,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:Transcription activator MSS11,compositionally biased region:Poly-Asn,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Ser,domain:LisH,mutagenesis site,
YOR372C	Ndd1p(NDD1)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0090282~positive regulation of transcription involved in G2/M transition of mitotic cell cycle,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0003713~transcription coactivator activity,				Activator,Complete proteome,Cytoplasm,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Nuclear division defective protein 1,compositionally biased region:Gln-rich,compositionally biased region:Ser-rich,modified residue,mutagenesis site,
YKL043W	Phd1p(PHD1)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006530~asparagine catabolic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:2000222~positive regulation of pseudohyphal growth,	GO:0005634~nucleus,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0004067~asparaginase activity,GO:0043565~sequence-specific DNA binding,	IPR003163:Transcription regulator HTH, APSES-type DNA-binding domain,IPR018004:KilA, N-terminal/APSES-type HTH, DNA-binding,		SM01252:SM01252,	Complete proteome,DNA-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:Putative transcription factor PHD1,DNA-binding region:H-T-H motif,domain:HTH APSES-type,
YKL015W	Put3p(PUT3)	Saccharomyces cerevisiae S288C		GO:0000972~transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006560~proline metabolic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:2001158~positive regulation of proline catabolic process to glutamate,	GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,IPR007219:Transcription factor, fungi,		SM00066:GAL4,SM00906:SM00906,	3D-structure,Activator,Complete proteome,DNA-binding,Metal-binding,Nucleus,Proline metabolism,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Proline utilization trans-activator,DNA-binding region:Zn(2)-C6 fungal-type,helix,metal ion-binding site:Zinc 1,metal ion-binding site:Zinc 2,strand,
YPL133C	Rds2p(RDS2)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0015976~carbon utilization,GO:0035948~positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0061414~positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source,GO:0061415~negative regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source,GO:0071466~cellular response to xenobiotic stimulus,GO:0071555~cell wall organization,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR000014:PAS domain,IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,		SM00066:GAL4,	Cell wall biogenesis/degradation,Complete proteome,Cytoplasm,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Regulator of drug sensitivity 2,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,
YKL038W	Rgt1p(RGT1)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006006~glucose metabolic process,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0015758~glucose transport,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046324~regulation of glucose import,GO:0061414~positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001191~transcriptional repressor activity, RNA polymerase II transcription factor binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,		SM00066:GAL4,	Activator,Complete proteome,Cytoplasm,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Repressor,Transcription,Transcription regulation,Zinc,	chain:Uncharacterized transcriptional regulatory protein YKL038W,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,
YPL089C	Rlm1p(RLM1)	Saccharomyces cerevisiae S288C	Transcription,	GO:0000165~MAPK cascade,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007165~signal transduction,GO:0036003~positive regulation of transcription from RNA polymerase II promoter in response to stress,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000982~transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008301~DNA binding, bending,GO:0043565~sequence-specific DNA binding,GO:0046983~protein dimerization activity,GO:0051019~mitogen-activated protein kinase binding,	IPR002100:Transcription factor, MADS-box,	sce04011:MAPK signaling pathway - yeast,	SM00432:MADS,	Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Transcription factor RLM1,compositionally biased region:Poly-Asn,compositionally biased region:Poly-Asp,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Ser,DNA-binding region:Mef2-type,domain:MADS-box,modified residue,
YPR065W	Rox1p(ROX1)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0071470~cellular response to osmotic stress,GO:0097201~negative regulation of transcription from RNA polymerase II promoter in response to stress,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,	GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001135~transcription factor activity, RNA polymerase II transcription factor recruiting,GO:0003677~DNA binding,GO:0008301~DNA binding, bending,GO:0043565~sequence-specific DNA binding,	IPR009071:High mobility group (HMG) box domain,		SM00398:HMG,	Complete proteome,DNA-binding,Nucleus,Reference proteome,Repressor,Transcription,Transcription regulation,	chain:Repressor ROX1,compositionally biased region:Gln-rich,DNA-binding region:HMG box,modified residue,
YBL103C	Rtg3p(RTG3)	Saccharomyces cerevisiae S288C		GO:0000422~mitophagy,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0031930~mitochondria-nucleus signaling pathway,GO:0042991~transcription factor import into nucleus,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0071400~cellular response to oleic acid,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001085~RNA polymerase II transcription factor binding,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046983~protein dimerization activity,	IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,IPR024099:Transcription factor retrograde regulation protein 3,		SM00353:HLH,	Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Repeat,Transcription,Transcription regulation,	chain:Retrograde regulation protein 3,DNA-binding region:Basic motif,domain:Helix-loop-helix motif,modified residue,
YER111C	SBF complex DNA-binding subunit SWI4(SWI4)	Saccharomyces cerevisiae S288C		GO:0000083~regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006530~asparagine catabolic process,GO:0061408~positive regulation of transcription from RNA polymerase II promoter in response to heat stress,GO:0071931~positive regulation of transcription involved in G1/S transition of mitotic cell cycle,	GO:0000790~nuclear chromatin,GO:0005737~cytoplasm,GO:0030907~MBF transcription complex,GO:0033309~SBF transcription complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0004067~asparaginase activity,GO:0043565~sequence-specific DNA binding,	IPR002110:Ankyrin repeat,IPR003163:Transcription regulator HTH, APSES-type DNA-binding domain,IPR018004:KilA, N-terminal/APSES-type HTH, DNA-binding,IPR020683:Ankyrin repeat-containing domain,	sce04011:MAPK signaling pathway - yeast,sce04111:Cell cycle - yeast,sce04113:Meiosis - yeast,	SM00248:ANK,SM01252:SM01252,	ANK repeat,Complete proteome,DNA-binding,Phosphoprotein,Reference proteome,Repeat,Transcription,Transcription regulation,	chain:Regulatory protein SWI4,compositionally biased region:Asn/Gln-rich,DNA-binding region:H-T-H motif,domain:HTH APSES-type,modified residue,repeat:ANK 1,repeat:ANK 2,sequence conflict,
YNL167C	Sko1p(SKO1)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0061393~positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress,	GO:0005634~nucleus,GO:0005829~cytosol,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001103~RNA polymerase II repressing transcription factor binding,GO:0001133~RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding,GO:0001191~transcriptional repressor activity, RNA polymerase II transcription factor binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,GO:0051019~mitogen-activated protein kinase binding,	IPR004827:Basic-leucine zipper domain,IPR020956:Transcription factor Aft1, osmotic stress domain,		SM00338:BRLZ,	Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Repressor,Transcription,Transcription regulation,	chain:CRE-binding bZIP protein SKO1,DNA-binding region:Basic motif,domain:Leucine-zipper,modified residue,
YBR182C	Smp1p(SMP1)	Saccharomyces cerevisiae S288C	Transcription,	GO:0000165~MAPK cascade,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0061393~positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008301~DNA binding, bending,GO:0043565~sequence-specific DNA binding,GO:0046983~protein dimerization activity,	IPR002100:Transcription factor, MADS-box,		SM00432:MADS,	Complete proteome,DNA-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:Transcription factor SMP1,compositionally biased region:Poly-Arg,DNA-binding region:Mef2-type,domain:MADS-box,
